iter	RMSE
0	3.832252806
1	3.74374168
2	3.664996563
3	3.580757729
4	3.504015596
5	3.434980642
6	3.372067029
7	3.314092956
8	3.261027026
9	3.205228837
10	3.15385682
11	3.103216897
12	3.05735813
13	3.015311729
14	2.973934592
15	2.938723022
16	2.907559167
17	2.877857648
18	2.84737136
19	2.819336637
20	2.791589782
21	2.762760981
22	2.739771773
23	2.714174841
24	2.690187106
25	2.669661548
26	2.648719596
27	2.629733573
28	2.611816351
29	2.593837784
30	2.575698399
31	2.559964503
32	2.546026472
33	2.532379729
34	2.51782307
35	2.502689373
36	2.490185478
37	2.477241232
38	2.465539425
39	2.454314318
40	2.443425865
41	2.432852527
42	2.42375944
43	2.413651594
44	2.403044765
45	2.394818468
46	2.386099506
47	2.376452925
48	2.366943827
49	2.35809413
50	2.349187062
51	2.341082551
52	2.334037038
53	2.327018446
54	2.319974726
55	2.311574505
56	2.303315474
57	2.297269998
58	2.290990551
59	2.283570285
60	2.276574726
61	2.270681103
62	2.265239835
63	2.258834028
64	2.25385194
65	2.247082138
66	2.241870767
67	2.237243747
68	2.233380435
69	2.228884445
70	2.223692003
71	2.218119019
72	2.213877306
73	2.208902229
74	2.204399804
75	2.199388682
76	2.195531164
77	2.191777243
78	2.188339602
79	2.184091901
80	2.179270409
81	2.175430199
82	2.171096048
83	2.166931356
84	2.163024447
85	2.159370607
86	2.155902469
87	2.151779224
88	2.148293077
89	2.144827886
90	2.14111222
91	2.137487365
92	2.134188761
93	2.130355246
94	2.12638528
95	2.122183374
96	2.119145062
97	2.115367025
98	2.112020636
99	2.10833048
100	2.105608666
101	2.102494778
102	2.099156739
103	2.096635842
104	2.093888396
105	2.091694697
106	2.089378001
107	2.08707484
108	2.084819925
109	2.082104483
110	2.079049635
111	2.077294763
112	2.074695759
113	2.071027606
114	2.068676248
115	2.065765457
116	2.062186409
117	2.060499907
118	2.058077718
119	2.056058802
120	2.054230393
121	2.050967425
122	2.04919177
123	2.047147785
124	2.044806989
125	2.043194103
126	2.041292977
127	2.039620759
128	2.037253939
129	2.035689329
130	2.033874012
131	2.030594893
132	2.028492424
133	2.026812545
134	2.025399034
135	2.02302118
136	2.021515026
137	2.020486873
138	2.019302522
139	2.017141334
140	2.015391187
141	2.013799536
142	2.012718118
143	2.011261503
144	2.01002108
145	2.00886039
146	2.005998544
147	2.003199549
148	2.000810931
149	1.999241995
150	1.995802475
151	1.99414354
152	1.993829292
153	1.990795372
154	1.988605806
155	1.985097861
156	1.982663826
157	1.980860347
158	1.979344198
159	1.978048087
160	1.977429545
161	1.977135375
162	1.976028396
163	1.973782404
164	1.971865079
165	1.971010104
166	1.969151112
167	1.966897509
168	1.965692258
169	1.963157887
170	1.96241845
171	1.96090705
172	1.959514681
173	1.958269819
174	1.955941661
175	1.955673783
176	1.955007483
177	1.954352423
178	1.953351947
179	1.952216722
180	1.951554489
181	1.951338528
182	1.950294105
183	1.948184931
184	1.947555352
185	1.947105208
186	1.945985314
187	1.944047717
188	1.943125266
189	1.942120976
190	1.94191861
191	1.939641782
192	1.937972638
193	1.937272161
194	1.937120136
195	1.936973808
196	1.936009157
197	1.934523742
198	1.932618602
199	1.931914408
200	1.93144976
201	1.931322449
202	1.928946575
203	1.928713358
204	1.927245628
205	1.927106693
206	1.925522624
207	1.925406009
208	1.924147701
209	1.924029083
210	1.92389307
211	1.923632911
212	1.922369099
213	1.92153457
214	1.919589905
215	1.917481514
216	1.915871417
217	1.915751491
218	1.91564481
219	1.914127464
220	1.912778857
221	1.912675124
222	1.911571234
223	1.911458392
224	1.911354672
225	1.91126277
226	1.911173346
227	1.910084747
228	1.909412952
229	1.908649503
230	1.906579883
231	1.904102364
232	1.902753006
233	1.902657515
234	1.901117887
235	1.898559097
236	1.897628167
237	1.896194708
238	1.894248135
239	1.892795203
240	1.891460799
241	1.891380771
242	1.890026405
243	1.888686817
244	1.888607294
245	1.888531114
246	1.887120833
247	1.884710476
248	1.882235478
249	1.882159964
