iter	Passed	Remaining
0	3	3180
1	4	2159
2	5	1838
3	6	1668
4	7	1560
5	9	1507
6	10	1487
7	11	1445
8	12	1413
9	14	1386
10	15	1369
11	16	1389
12	18	1372
13	19	1358
14	20	1352
15	21	1345
16	23	1342
17	24	1334
18	25	1328
19	27	1323
20	28	1348
21	30	1343
22	31	1337
23	32	1333
24	34	1333
25	35	1332
26	36	1332
27	38	1334
28	39	1334
29	41	1333
30	42	1334
31	44	1353
32	47	1384
33	49	1401
34	51	1418
35	53	1436
36	55	1448
37	57	1463
38	59	1474
39	61	1484
40	63	1486
41	64	1480
42	66	1475
43	67	1469
44	69	1465
45	70	1461
46	71	1456
47	73	1451
48	74	1446
49	76	1460
50	78	1455
51	79	1450
52	80	1445
53	82	1439
54	83	1432
55	84	1427
56	85	1420
57	87	1414
58	88	1408
59	89	1402
60	90	1398
61	92	1394
62	93	1389
63	94	1385
64	95	1380
65	98	1387
66	100	1393
67	102	1400
68	103	1398
69	106	1414
70	107	1407
71	108	1402
72	110	1405
73	112	1402
74	113	1399
75	114	1393
76	116	1391
77	118	1395
78	119	1391
79	120	1387
80	122	1384
81	123	1382
82	124	1380
83	126	1378
84	127	1375
85	129	1373
86	130	1371
87	132	1368
88	133	1364
89	134	1361
90	135	1358
91	137	1356
92	138	1354
93	140	1351
94	142	1355
95	144	1360
96	147	1369
97	148	1365
98	149	1363
99	151	1360
100	152	1357
101	153	1353
102	155	1350
103	156	1347
104	157	1344
105	159	1341
106	160	1338
107	161	1335
108	163	1332
109	164	1330
110	166	1330
111	167	1327
112	168	1324
113	170	1322
114	171	1320
115	172	1318
116	174	1315
117	175	1312
118	177	1317
119	179	1319
120	182	1322
121	184	1326
122	186	1328
123	188	1330
124	190	1333
125	192	1338
126	195	1341
127	197	1345
128	199	1347
129	201	1346
130	203	1348
131	205	1350
132	207	1350
133	209	1353
134	211	1354
135	213	1355
136	215	1357
137	217	1360
138	219	1361
139	221	1363
140	224	1365
141	226	1366
142	228	1367
143	230	1368
144	232	1369
145	233	1367
146	236	1369
147	238	1372
148	240	1374
149	242	1375
150	245	1380
151	247	1383
152	249	1382
153	253	1390
154	254	1387
155	255	1384
156	257	1382
157	258	1379
158	260	1377
159	261	1374
160	263	1374
161	265	1372
162	266	1370
163	268	1368
164	269	1365
165	271	1362
166	272	1360
167	274	1357
168	275	1355
169	277	1353
170	278	1351
171	280	1348
172	281	1346
173	283	1343
174	285	1345
175	287	1344
176	289	1346
177	291	1346
178	293	1348
179	295	1347
180	299	1355
181	302	1357
182	304	1358
183	306	1358
184	308	1359
185	310	1360
186	313	1361
187	315	1363
188	317	1363
189	320	1364
190	322	1365
191	324	1365
192	326	1366
193	329	1367
194	330	1366
195	332	1365
196	334	1364
197	337	1366
198	340	1370
199	343	1372
200	345	1373
201	346	1370
202	349	1373
203	351	1370
204	352	1367
205	354	1364
206	355	1361
207	356	1356
208	357	1353
209	358	1348
210	359	1345
211	361	1342
212	362	1339
213	364	1339
214	366	1339
215	369	1340
216	371	1341
217	373	1341
218	375	1339
219	377	1340
220	380	1340
221	382	1339
222	384	1339
223	386	1339
224	388	1339
225	390	1337
226	392	1335
227	394	1334
228	396	1335
229	398	1335
230	401	1335
231	403	1335
232	405	1335
233	408	1335
234	410	1335
235	412	1336
236	414	1335
237	416	1334
238	419	1334
239	422	1337
240	425	1339
241	427	1339
242	429	1339
243	432	1339
244	434	1338
245	436	1338
246	439	1338
247	441	1338
248	443	1338
249	445	1337
250	448	1336
251	450	1336
252	452	1335
253	454	1335
254	455	1332
255	457	1329
256	459	1327
257	460	1324
258	462	1321
259	463	1319
260	464	1316
261	466	1314
262	468	1311
263	469	1309
264	471	1306
265	472	1304
266	474	1301
267	475	1299
268	477	1296
269	478	1294
270	480	1291
271	481	1288
272	483	1286
273	484	1284
274	486	1281
275	487	1279
276	489	1276
277	490	1274
278	492	1271
279	493	1269
280	494	1266
281	496	1263
282	497	1261
283	499	1260
284	501	1257
285	502	1255
286	504	1253
287	506	1251
288	507	1249
289	509	1246
290	510	1244
291	512	1241
292	513	1239
293	515	1237
294	516	1234
295	518	1232
296	519	1230
297	521	1227
298	522	1225
299	524	1223
300	525	1221
301	527	1218
302	528	1216
303	530	1214
304	531	1211
305	533	1209
306	534	1207
307	536	1205
308	537	1202
309	539	1200
310	540	1198
311	542	1196
312	543	1194
313	545	1191
314	547	1189
315	548	1187
316	550	1185
317	551	1182
318	553	1180
319	554	1178
320	556	1177
321	558	1175
322	559	1172
323	561	1170
324	562	1168
325	564	1166
326	565	1163
327	566	1161
328	568	1159
329	570	1157
330	571	1155
331	573	1152
332	574	1150
333	575	1148
334	577	1146
335	578	1144
336	580	1141
337	581	1139
338	583	1138
339	585	1136
340	586	1134
341	588	1131
342	589	1129
343	591	1127
344	592	1125
345	594	1123
346	595	1121
347	597	1118
348	598	1116
349	600	1115
350	601	1112
351	603	1110
352	604	1108
353	606	1106
354	607	1104
355	609	1102
356	611	1100
357	612	1098
358	613	1096
359	615	1094
360	617	1092
361	619	1091
362	621	1091
363	624	1091
364	625	1088
365	627	1086
366	629	1086
367	632	1085
368	634	1084
369	636	1083
370	639	1083
371	641	1082
372	644	1082
373	646	1081
374	647	1079
375	650	1078
376	651	1076
377	653	1075
378	655	1073
379	657	1073
380	660	1072
381	662	1071
382	664	1071
383	667	1070
384	669	1069
385	671	1068
386	673	1067
387	676	1066
388	678	1065
389	681	1065
390	683	1064
391	685	1063
392	687	1062
393	690	1061
394	692	1060
395	694	1059
396	697	1058
397	699	1057
398	701	1056
399	704	1056
400	706	1055
401	708	1054
402	711	1054
403	714	1053
404	716	1052
405	718	1051
406	721	1050
407	723	1050
408	725	1048
409	727	1047
410	729	1045
411	732	1044
412	734	1043
413	736	1042
414	738	1041
415	741	1040
416	743	1039
417	745	1038
418	748	1037
419	750	1036
420	752	1035
421	754	1033
422	756	1032
423	759	1031
424	761	1030
425	763	1028
426	766	1027
427	768	1026
428	770	1025
429	772	1024
430	774	1022
431	776	1020
432	778	1019
433	780	1018
434	782	1016
435	785	1016
436	787	1014
437	790	1013
438	792	1012
439	794	1011
440	796	1009
441	798	1008
442	801	1007
443	803	1006
444	805	1005
445	808	1003
446	810	1002
447	812	1001
448	814	999
449	817	998
450	819	997
451	821	996
452	823	994
453	826	993
454	828	992
455	830	991
456	833	989
457	835	988
458	837	987
459	839	985
460	842	984
461	844	983
462	846	982
463	848	980
464	850	979
465	853	977
466	855	976
467	857	975
468	860	973
469	862	972
470	864	971
471	866	969
472	869	968
473	871	967
474	873	965
475	876	964
476	878	963
477	880	961
478	882	960
479	884	958
480	887	957
481	889	956
482	891	954
483	894	953
484	896	951
485	898	950
486	901	949
487	903	947
488	905	946
489	908	945
490	910	943
491	913	942
492	914	940
493	916	938
494	917	936
495	919	933
496	920	931
497	922	929
498	923	927
499	924	924
500	926	922
501	927	920
502	929	918
503	930	915
504	932	913
505	933	911
506	935	909
507	936	907
508	937	904
509	939	902
510	940	900
511	942	898
512	944	896
513	945	894
514	947	892
515	949	890
516	950	887
517	952	885
518	953	883
519	954	881
520	956	879
521	957	876
522	959	874
523	960	872
524	962	870
525	963	868
526	965	866
527	966	863
528	967	861
529	969	859
530	970	857
531	972	855
532	973	853
533	974	850
534	976	848
535	978	846
536	979	844
537	980	842
538	982	840
539	983	838
540	985	836
541	986	833
542	988	831
543	990	829
544	991	827
545	993	825
546	994	823
547	996	821
548	997	819
549	999	817
550	1000	815
551	1002	813
552	1004	811
553	1005	809
554	1007	807
555	1008	805
556	1010	803
557	1011	801
558	1013	799
559	1014	797
560	1016	795
561	1017	793
562	1019	790
563	1021	789
564	1024	788
565	1025	786
566	1028	785
567	1029	783
568	1031	781
569	1033	779
570	1034	777
571	1037	776
572	1038	774
573	1040	772
574	1042	770
575	1044	768
576	1047	767
577	1049	766
578	1051	764
579	1054	763
580	1057	762
581	1059	761
582	1062	759
583	1063	757
584	1065	755
585	1067	754
586	1070	752
587	1072	751
588	1074	749
589	1075	747
590	1076	745
591	1078	743
592	1079	741
593	1081	739
594	1082	737
595	1084	735
596	1085	733
597	1087	731
598	1089	729
599	1091	727
600	1094	726
601	1096	724
602	1098	723
603	1100	721
604	1103	720
605	1105	718
606	1107	717
607	1109	715
608	1110	713
609	1112	711
610	1113	708
611	1115	706
612	1116	704
613	1117	702
614	1119	700
615	1120	698
616	1122	696
617	1123	694
618	1125	692
619	1126	690
620	1127	688
621	1129	686
622	1132	685
623	1134	683
624	1136	681
625	1137	679
626	1139	677
627	1140	675
628	1142	673
629	1143	671
630	1145	669
631	1146	667
632	1148	665
633	1149	663
634	1151	661
635	1152	659
636	1154	657
637	1155	655
638	1156	653
639	1158	651
640	1160	649
641	1161	647
642	1163	645
643	1164	643
644	1165	641
645	1167	639
646	1168	637
647	1170	635
648	1171	633
649	1173	631
650	1175	629
651	1176	627
652	1178	626
653	1181	625
654	1184	623
655	1186	621
656	1187	619
657	1189	618
658	1190	616
659	1192	614
660	1193	612
661	1195	610
662	1196	608
663	1198	606
664	1199	604
665	1201	602
666	1202	600
667	1203	598
668	1205	596
669	1206	594
670	1208	592
671	1209	590
672	1211	588
673	1212	586
674	1214	584
675	1215	582
676	1217	580
677	1218	578
678	1219	576
679	1221	574
680	1222	572
681	1223	570
682	1225	568
683	1226	566
684	1228	564
685	1229	562
686	1231	560
687	1232	558
688	1233	556
689	1235	554
690	1236	553
691	1238	551
692	1239	549
693	1240	547
694	1242	545
695	1243	543
696	1245	541
697	1246	539
698	1248	537
699	1249	535
700	1251	533
701	1252	531
702	1254	529
703	1256	528
704	1257	526
705	1259	524
706	1260	522
707	1262	520
708	1263	518
709	1265	516
710	1266	514
711	1268	512
712	1269	511
713	1271	509
714	1272	507
715	1274	505
716	1275	503
717	1277	501
718	1278	499
719	1280	497
720	1281	496
721	1283	494
722	1284	492
723	1286	490
724	1287	488
725	1289	486
726	1290	484
727	1292	482
728	1294	481
729	1296	479
730	1297	477
731	1299	475
732	1300	473
733	1302	471
734	1303	470
735	1305	468
736	1306	466
737	1308	464
738	1309	462
739	1311	460
740	1312	458
741	1313	456
742	1315	454
743	1316	453
744	1318	451
745	1320	449
746	1321	447
747	1323	445
748	1326	444
749	1328	442
750	1330	441
751	1332	439
752	1334	437
753	1337	436
754	1339	434
755	1340	432
756	1342	430
757	1343	428
758	1345	427
759	1346	425
760	1348	423
761	1349	421
762	1351	419
763	1352	417
764	1355	416
765	1357	414
766	1359	412
767	1361	411
768	1363	409
769	1366	408
770	1368	406
771	1370	404
772	1372	403
773	1375	401
774	1376	399
775	1379	398
776	1381	396
777	1384	394
778	1386	393
779	1389	391
780	1391	390
781	1394	388
782	1396	387
783	1398	385
784	1400	383
785	1401	381
786	1404	380
787	1406	378
788	1408	376
789	1411	375
790	1413	373
791	1415	371
792	1417	370
793	1420	368
794	1422	366
795	1425	365
796	1427	363
797	1429	361
798	1431	360
799	1434	358
800	1436	356
801	1438	355
802	1440	353
803	1442	351
804	1445	350
805	1447	348
806	1450	346
807	1452	345
808	1454	343
809	1456	341
810	1459	340
811	1461	338
812	1463	336
813	1466	335
814	1468	333
815	1471	331
816	1473	330
817	1475	328
818	1478	326
819	1480	325
820	1483	323
821	1485	321
822	1487	319
823	1490	318
824	1492	316
825	1495	314
826	1497	313
827	1499	311
828	1502	309
829	1504	308
830	1506	306
831	1509	304
832	1511	303
833	1515	301
834	1518	300
835	1520	298
836	1523	296
837	1525	294
838	1527	293
839	1530	291
840	1532	289
841	1534	287
842	1536	286
843	1539	284
844	1541	282
845	1544	281
846	1546	279
847	1547	277
848	1550	275
849	1552	273
850	1553	272
